Clone,HWAMM,HWAMS,CWAMM,CWAMS,LAIXM,LAIXS,Year,Location,MeanROOT
TMS14F1291P0012,7.656,23.232,10.312,14.044,6,2.8,2018,AGO-OWO,11512
TMS14F1292P0012,9.179,10.429,8.194,3.906,3,0.8,2018,AGO-OWO,10410
TMS14F1295P0012,8.282,9.093,12.986,6.261,1,1,2018,AGO-OWO,9592
TMS14F1297P0019,7.521,18.152,14.132,6.965,4,2,2018,AGO-OWO,10416
TMS14F1299P0007,12.852,8.286,10.417,5.485,4,1,2018,AGO-OWO,10588
TMS14F1300P0002,12.125,11.51,8.958,7.563,NA,1.4,2018,AGO-OWO,10443
TMS14F1300P0008,6.211,8.275,9.826,5.936,4,0.9,2018,AGO-OWO,10286
TMS14F1301P0004,9.939,11.688,9.028,3.934,NA,0.9,2018,AGO-OWO,9902
TMS14F1301P0013,7.282,13.816,10.972,4.657,8,1,2018,AGO-OWO,9575
TMS14F1303P0012,8.29,9.462,14.444,4.259,8,1.1,2018,AGO-OWO,9861
TMS14F1306P0008,10.372,13.345,9.514,4.939,7,0.9,2018,AGO-OWO,10244
TMS14F1306P0015,8.628,12.571,11.806,4.919,3,1.2,2018,AGO-OWO,10078
TMS14F1306P0020,7.726,10.401,9.132,5.187,3,1,2018,AGO-OWO,10451
TMS14F1310P0004,9.068,8.507,12.153,5.88,5,1,2018,AGO-OWO,9273
TMS14F1310P0015,8.242,11.803,13.438,5.154,NA,0.9,2018,AGO-OWO,9280
TMS14F1311P0002,6.414,9.514,11.667,5.103,5,0.8,2018,AGO-OWO,8860
TMS14F1312P0003,6.558,9.514,13.958,5.103,4,0.8,2018,AGO-OWO,5401
IITA-TMS-IBA000070,18.304,10.449,9.031,5.164,5,0.7,2019,AGO-OWO,12227
IITA-TMS-IBA30572,12.641,7.656,19.104,9.799,3,1.6,2019,AGO-OWO,9141
IITA-TMS-IBA980581,11.78,13.544,12.292,6.295,4,1.2,2019,AGO-OWO,10073
IITA-TMS-IBA982101,12.442,10.781,14.389,7.129,3,1.1,2019,AGO-OWO,9484
TMEB419,12.131,16.124,14.75,5.017,3,1.6,2019,AGO-OWO,10314
TMS13F1021P0008,18.096,13.082,15.062,5.009,4,1,2019,AGO-OWO,11206
TMS13F1049P0001,14.555,8.476,18.083,3.426,1,1,2019,AGO-OWO,10322
TMS13F1114P0001,13.61,14.083,9.719,4.975,4,1.5,2019,AGO-OWO,10138
TMS13F1126P0003,12.276,7.303,6.75,4.65,3,0.8,2019,AGO-OWO,9611
TMS13F1182P0002,17.438,8.819,14.99,5.221,5,1.2,2019,AGO-OWO,11409
TMS13F1304P0003,24.087,11.594,9.104,4.246,NA,0.9,2019,AGO-OWO,13306
TMS13F1315P0008,12.716,10.5,15.688,6.032,5,1,2019,AGO-OWO,9908
TMS13F1376P0018,14.419,9.833,13.719,4.49,3,1,2019,AGO-OWO,12779
TMS13F1400P0001,15.207,10.024,12.792,4.691,5,1,2019,AGO-OWO,9936
TMS13F1461P0002,17.138,14.083,12.479,4.975,3,1.5,2019,AGO-OWO,11689
TMS13F2061P0005,15.987,11.685,13.219,4.95,3,0.9,2019,AGO-OWO,10276
TMS13F2207P0001,12.592,12.999,8.458,4.765,2,1,2019,AGO-OWO,12634
TMS14F1001P0004,13.345,10.111,12.5,4.73,2,1,2019,AGO-OWO,10561
TMS14F1013P0007,10.837,9.539,12.875,4.271,13,1,2019,AGO-OWO,9523
TMS14F1014P0016,11.002,9.667,10.813,4.345,3,1,2019,AGO-OWO,10223
TMS14F1014P0017,12.131,10.558,7.458,4.961,2,1,2019,AGO-OWO,10173
TMS14F1016P0006,15.874,10.591,10.031,5.086,8,1,2019,AGO-OWO,11269
TMS14F1019P0015,15.736,9.491,NA,4.254,5,1,2019,AGO-OWO,11529
TMS14F1022P0003,11.024,9.799,8.781,4.452,5,1,2019,AGO-OWO,10660
TMS14F1022P0006,17.18,10.892,11.229,5.33,5,1,2019,AGO-OWO,12806
TMS14F1035P0004,12.554,14.642,9.125,7.248,6,1.7,2019,AGO-OWO,12932
TMS14F1035P0007,9.678,13.914,10.562,5.667,4,1.1,2019,AGO-OWO,10891
