source,Clone,TRNO,EXCODE,HWAMS,HWAMM,LAIXS,LAIXM,CWAMS,CWAMM
13,TMS14F1196P0003,39,UYMO1801CS,6755,10041,0.8,2,3428,9896
13,TMS14F1208P0007,40,UYMO1801CS,6755,5377,0.8,6,3428,8958
13,TMS14F1223P0007,41,UYMO1801CS,6755,6413,0.8,3,3428,8646
13,TMS14F1224P0004,42,UYMO1801CS,6755,3259,0.8,2,3428,10243
13,TMS14F1262P0002,43,UYMO1801CS,6755,2994,0.8,4,3428,8618
13,TMS14F1278P0003,44,UYMO1801CS,6755,6242,0.8,2,3428,9792
13,TMS14F1285P0006,45,UYMO1801CS,11089,8174,1.4,2,4972,6910
13,TMS14F1285P0017,46,UYMO1801CS,12069,9972,1.4,NA,5338,10972
13,TMS14F1287P0008,47,UYMO1801CS,11818,15641,1.8,7,6495,13333
13,TMS14F1288P0008,48,UYMO1801CS,6445,5883,0.7,1,5603,6771
13,TMS14F1291P0003,49,UYMO1801CS,12207,10291,1.4,NA,5386,8681
13,TMS14F1291P0011,50,UYMO1801CS,12106,7148,1.4,0,5345,9625
13,TMS14F1291P0012,51,UYMO1801CS,5361,9991,0.7,6,4047,12674
13,TMS14F1292P0012,52,UYMO1801CS,12206,6520,1.6,3,5642,12361
13,TMS14F1295P0012,53,UYMO1801CS,7180,5714,0.9,1,4325,9965
13,TMS14F1297P0019,54,UYMO1801CS,9394,5531,1.3,4,5703,13646
13,TMS14F1299P0007,55,UYMO1801CS,9394,6868,1.3,4,5703,8819
13,TMS14F1300P0002,56,UYMO1801CS,12263,5678,1.4,0,5382,7951
13,TMS14F1300P0008,57,UYMO1801CS,0,3035,0.6,4,7825,9271
13,TMS14F1301P0004,58,UYMO1801CS,12307,5157,1.4,0,5411,8125
13,TMS14F1301P0013,59,UYMO1801CS,11575,5814,1.4,8,4853,7014
13,TMS14F1303P0012,60,UYMO1801CS,8807,6791,1,8,3982,8681
13,TMS14F1306P0008,61,UYMO1801CS,7872,6910,0.9,7,4428,8924
13,TMS14F1306P0015,62,UYMO1801CS,14855,6474,2.2,3,6496,9688
13,TMS14F1306P0020,63,UYMO1801CS,7671,3091,0.9,3,4516,5486
13,TMS14F1310P0004,64,UYMO1801CS,7872,5573,0.9,5,4428,8438
13,TMS14F1310P0015,65,UYMO1801CS,12414,10689,1.4,NA,5429,10278
13,TMS14F1311P0002,66,UYMO1801CS,7872,6219,0.9,5,4428,8993
13,TMS14F1312P0003,67,UYMO1801CS,11719,5071,1.4,4,5252,11701
14,IITA-TMS-IBA000070,1,UYMO1901CS,15083,7136,2.4,5,7051,7635
14,IITA-TMS-IBA30572,2,UYMO1901CS,8941,5219,1.1,3,4295,6177
14,IITA-TMS-IBA980581,3,UYMO1901CS,10324,5210,1.4,4,5450,5125
14,IITA-TMS-IBA982101,4,UYMO1901CS,8043,3958,1.1,3,6650,3542
14,TMEB419,5,UYMO1901CS,13314,6059,1.9,3,6455,6891
14,TMS13F1021P0008,6,UYMO1901CS,7802,3902,1.2,4,6196,3240
14,TMS13F1049P0001,7,UYMO1901CS,7443,4996,1,1,5660,7438
14,TMS13F1114P0001,8,UYMO1901CS,9210,6606,1.3,4,5696,4396
14,TMS13F1126P0003,9,UYMO1901CS,8941,5334,1.1,3,4295,3094
14,TMS13F1182P0002,10,UYMO1901CS,8743,3920,1.4,5,7162,5250
14,TMS13F1304P0003,11,UYMO1901CS,11162,8613,1.4,2,5054,5417
14,TMS13F1315P0008,12,UYMO1901CS,8941,4764,1.1,2,4295,9396
14,TMS13F1376P0018,13,UYMO1901CS,14832,6739,1.9,0,8827,5583
14,TMS13F1400P0001,14,UYMO1901CS,9210,5494,1.3,4,5696,9979
14,TMS13F1461P0002,15,UYMO1901CS,9210,5314,1.3,5,5696,7375
14,TMS13F2061P0005,16,UYMO1901CS,9210,5385,1.3,3,5696,6219
14,TMS13F2207P0001,17,UYMO1901CS,15083,5214,2.4,5,7051,4792
14,TMS14F1001P0004,18,UYMO1901CS,11162,4794,1.4,3,5054,7510
14,TMS14F1013P0007,19,UYMO1901CS,8941,4609,1.1,3,4295,6115
14,TMS14F1014P0016,20,UYMO1901CS,9210,5115,1.3,2,5696,9000
14,TMS14F1014P0017,21,UYMO1901CS,9210,4215,1.3,2,5696,5208
14,TMS14F1016P0006,22,UYMO1901CS,11162,6487,1.4,13,5054,7177
14,TMS14F1019P0015,23,UYMO1901CS,8941,5214,1.1,3,4295,5729
14,TMS14F1022P0003,24,UYMO1901CS,8941,8452,1.1,2,4295,6698
14,TMS14F1022P0006,25,UYMO1901CS,8941,3021,1.1,8,4295,6948
14,TMS14F1035P0004,26,UYMO1901CS,10945,8168,1.3,5,3976,8948
14,TMS14F1035P0007,27,UYMO1901CS,11162,4800,1.4,5,5054,7354
14,TMS14F1036P0007,28,UYMO1901CS,15083,9449,2.4,5,7051,8667
14,TMS14F1049P0001,29,UYMO1901CS,8941,5270,1.1,6,4295,3521
14,TMS14F1098P0013,30,UYMO1901CS,8941,4305,1.1,4,4295,7188
14,TMS14F1120P0003,31,UYMO1901CS,6274,5457,1.1,4,6607,4792
14,TMS14F1125P0010,32,UYMO1901CS,9210,7770,1.3,3,5696,10156
14,TMS14F1131P0001,33,UYMO1901CS,6552,6171,0.8,3,4405,4281
14,TMS14F1146P0002,34,UYMO1901CS,11906,6330,1.3,0,5353,9323
14,TMS14F1159P0003,35,UYMO1901CS,10983,6561,1.4,3,4962,9802
14,TMS14F1194P0002,36,UYMO1901CS,11965,4320,1.3,0,5357,5250
14,TMS14F1195P0004,37,UYMO1901CS,6609,5933,0.8,2,3431,6385
14,TMS14F1195P0005,38,UYMO1901CS,8692,8212,1.2,4,4927,6396
