"accession_name","rep_number","plant_number","stem_nu","NODLT","Total_nod","LAIm","LAIX","BR#S","L#SX","L#IR"
"TMS14F1300P0008",2,2,1,NA,NA,200.4243,NA,1,NA,0.333333333333333
"TMS14F1300P0008",2,3,2,4.21052631578947,167,231.8505,3.87190335,2,83.5,NA
"TMS14F1300P0008",2,4,NA,NA,NA,NA,NA,NA,NA,NA
"TMS14F1300P0008",2,5,NA,NA,NA,NA,NA,NA,NA,NA
"TMS14F1303P0012",2,1,2,NA,NA,258.2496,NA,2,NA,0.428571428571429
"TMS14F1303P0012",2,2,5,NA,NA,242.2908,NA,5,NA,NA
"TMS14F1303P0012",2,3,2,NA,NA,210.5864,NA,2,NA,0.0476190476190476
"TMS14F1303P0012",2,4,3,NA,NA,202.815,NA,3,NA,0.0952380952380952
"TMS14F1303P0012",2,5,2,NA,NA,230.7429,NA,2,NA,0.142857142857143
"TMS13F2061P0005",2,1,1,2.70833333333333,125.307692307692,271.5018,3.40212640153846,1,125.307692307692,0.19047619047619
